’èíŒvŽZ‚É‚æ‚é•‰‰×‚ð”ñ’èíŒvŽZ‚É‚æ‚é•‰‰×‚ÉŠ·ŽZ‚·‚é‚½‚ß‚ÌŒW”ˆê——i‘Î”äŒW”ˆ——pExcelƒtƒ@ƒCƒ‹‚©‚çƒRƒs[j,,,,,,,,,,,,,,,,,,,2012.1.31 Œš’zŠÂ‹«ƒ\ƒŠƒ…[ƒVƒ‡ƒ“ƒY@‹{“‡,,,,,,,,,,
Ø•Ð‚Ì’PˆÊ‚Í[Wh/m2“ú],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Œš•¨—p“r,Žº—p“r,‘O“ú‹ó’²—L–³,ŠúŠÔ,ŠO—,•‰‰×Ží•Ê,,–kŒ©,,,ŠâŒ©‘ò,,,·‰ª,,,’·–ì,,,‰F“s‹{,,,‰ªŽR,,,‹{è,,,“ß”e,
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.71,74,0,0.67,99,0,0.7,81,0,0.66,91,0,0.68,75,0,0.74,58,0,0.69,88,0,0.78,49,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,186,0,0,186,0,0,229,0,0,260,0,0,317,0,0,316,0,0,404,0.94,2,150
,,,,,’g–[•‰‰×,0.77,-118,-317,0.77,-110,-308,0.74,-127,-364,0.74,-129,-387,0.73,-114,-419,0.77,-83,-385,0.71,-90,-470,0.76,-28,-28
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.75,76,0,0.68,109,0,0.64,130,0,0.62,151,0,0.64,169,0,0.73,95,0,0.67,140,0,0.69,73,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,314,0,0,318,0,0,265,0,0,363,0,0,322,0,0,360,0,0,333,-0.01,1,37
,,,,,’g–[•‰‰×,0.8,-52,-350,0.74,-66,-368,0.77,-66,-322,0.77,-57,-403,0.79,-40,-337,0.77,-44,-373,0.78,-45,-350,0.77,-21,-21
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.75,63,0,0.65,106,0,0.65,111,0,0.66,112,0,0.7,103,0,0.74,83,0,0.7,117,0,0.71,81,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,578,0,0,522,0,0,496,0.28,18,425,0.01,4,147,0.4,56,218,0.75,29,246,1.17,19,220
,,,,,’g–[•‰‰×,1.3,-66,-503,1.22,-74,-455,1.43,-44,-403,1.42,-19,-256,1.3,-27,-27,1.31,-38,-38,1.26,-48,-48,1.08,-29,-29
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.97,237,0,0.75,336,0,0.91,211,0,0.98,241,0,0.91,190,0,1.1,194,0,1.04,232,0,1.18,157,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,169,0,0,190,0,0,231,0,0,233,0,0,451,0,0,397,0,0,400,0,0,130
,,,,,’g–[•‰‰×,1.23,-299,-408,1.12,-321,-446,1.05,-367,-522,1.03,-383,-535,1.03,-360,-696,1.04,-257,-548,1,-233,-511,0.94,-116,-116
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.92,359,0,1.04,223,0,0.86,312,0,0.86,349,0,0.83,479,0,0.93,243,0,0.81,371,0,0.86,191,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,246,0,0,375,0,0,335,0,0,347,0,0,324,0,0,465,0,0,456,0,0,666
,,,,,’g–[•‰‰×,1.11,-214,-354,1.21,-186,-440,1.06,-244,-475,1.14,-203,-437,1.11,-168,-367,1.12,-146,-478,1.1,-153,-483,1.21,-42,-566
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,1.17,140,0,0.96,261,0,0.76,302,0,0.75,348,0,0.79,339,0,0.97,260,0,1,279,0,0.86,222,0
Ž––±Š“™,‰ï‹cŽº,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.2,-5,64,0,0,172,-0.09,-3,142,0.01,4,162,0.26,9,212,0.56,13,246,0.48,12,240,0.73,7,46
,,,,,’g–[•‰‰×,0.65,-46,-162,0.74,-23,-183,0.68,-27,-172,0.77,-9,-155,0.7,-18,-187,0.68,-18,-215,0.72,-17,-185,0.6,-12,-12
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.64,87,0,0.61,107,0,0.63,89,0,0.6,99,0,0.61,84,0,0.67,70,0,0.62,97,0,0.71,59,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,67,0,0,64,0,0,70,0,0,95,0,0,122,0,0,108,0,0,163,0.87,1,337
,,,,,’g–[•‰‰×,0.67,-153,-249,0.67,-144,-235,0.63,-163,-259,0.62,-165,-277,0.62,-148,-276,0.66,-110,-226,0.59,-112,-271,0.65,-36,-219
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.69,89,0,0.63,119,0,0.58,141,0,0.56,163,0,0.57,186,0,0.67,109,0,0.61,153,0,0.62,84,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,115,0,0,110,0,0,93,0,0,131,0,0,126,0,0,171,0,0,140,0,0,214
,,,,,’g–[•‰‰×,0.7,-70,-188,0.63,-86,-200,0.67,-86,-188,0.67,-74,-207,0.7,-52,-173,0.66,-56,-218,0.68,-60,-191,0.66,-28,-224
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.69,74,0,0.58,118,0,0.58,122,0,0.6,122,0,0.65,112,0,0.67,96,0,0.64,128,0,0.64,94,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,228,0,0,191,0,0,187,0.19,12,165,0.01,3,166,0.21,52,320,0.6,24,339,0.96,17,45
,,,,,’g–[•‰‰×,1.04,-68,-306,0.98,-70,-272,1.16,-44,-240,1.17,-20,-159,1.06,-26,-194,1.07,-35,-307,1.03,-44,-305,0.84,-29,-29
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.83,207,0,0.66,289,0,0.78,188,0,0.84,211,0,0.78,169,0,0.93,177,0,0.88,205,0,1.01,141,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,52,0,0,63,0,0,66,0,0,70,0,0,201,0,0,144,0,0,183,0,0,252
,,,,,’g–[•‰‰×,0.99,-291,-416,0.89,-308,-438,0.82,-353,-479,0.81,-363,-488,0.81,-339,-566,0.82,-245,-423,0.79,-219,-419,0.73,-107,-371
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.8,312,0,0.9,198,0,0.74,278,0,0.75,307,0,0.73,416,0,0.81,213,0,0.7,329,0,0.73,173,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,118,0,0,139,0,0,99,0,0,152,0,0,143,0,0,152,0,0,174,0,0,302
,,,,,’g–[•‰‰×,0.88,-199,-356,0.94,-183,-349,0.83,-234,-369,0.91,-192,-372,0.89,-157,-319,0.89,-139,-303,0.89,-143,-326,0.97,-41,-337
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,1,128,0,0.81,231,0,0.67,266,0,0.65,304,0,0.69,294,0,0.84,227,0,0.87,246,0,0.75,196,0
Ž––±Š“™,“dŽZŽº,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0.04,11,395,-0.01,0,386,0,5,389,0.11,15,411,0.34,21,436,0.56,24,447,0.49,21,529,0.72,13,507
,,,,,’g–[•‰‰×,0.88,-16,-16,0.9,-9,-9,0.89,-9,-9,0.88,-11,-11,0.85,-15,-15,0.74,-24,-24,0.84,-18,-18,0.78,-13,-13
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.76,47,0,0.72,74,0,0.72,62,0,0.72,64,0,0.72,56,0,0.78,36,0,0.73,65,0,0.8,32,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,407,0,0,411,0,0,348,0,0,355,0,0,370,0,0,367,0,0,379,0.34,10,446
,,,,,’g–[•‰‰×,0.9,-37,-37,0.89,-37,-37,0.89,-39,-39,0.89,-38,-38,0.89,-33,-33,0.89,-28,-28,0.89,-23,-23,0.87,-12,-12
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.77,55,0,0.73,75,0,0.7,91,0,0.69,105,0,0.72,115,0,0.77,59,0,0.71,101,0,0.75,43,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,370,0,0,373,0,0,366,0,0,373,0.01,3,383,0.01,9,388,0,0,384,0.03,4,401
,,,,,’g–[•‰‰×,0.89,-23,-23,0.89,-22,-22,0.89,-23,-23,0.9,-20,-20,0.9,-14,-14,0.9,-13,-13,0.89,-17,-17,0.89,-8,-8
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.78,43,0,0.71,75,0,0.69,83,0,0.71,84,0,0.72,81,0,0.76,55,0,0.72,96,0,0.78,43,0
Ž––±Š“™,’†‰›ŠÄŽ‹Žº,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0.04,11,133,-0.01,0,124,0,5,127,0.11,15,149,0.34,21,174,0.56,24,185,0.49,21,204,0.72,13,182
,,,,,’g–[•‰‰×,0.88,-16,-16,0.9,-9,-9,0.89,-9,-9,0.88,-11,-11,0.85,-15,-15,0.74,-24,-24,0.84,-18,-18,0.78,-13,-13
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.76,47,0,0.72,74,0,0.72,62,0,0.72,64,0,0.72,56,0,0.78,36,0,0.73,65,0,0.8,32,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,369,0,0,322,0,0,416,0,0,416,0,0,108,0,0,105,0,0,117,0.34,10,184
,,,,,’g–[•‰‰×,0.9,-37,-317,0.89,-37,-265,0.89,-39,-369,0.89,-38,-362,0.89,-33,-33,0.89,-28,-28,0.89,-23,-23,0.87,-12,-12
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.77,55,0,0.73,75,0,0.7,91,0,0.69,105,0,0.72,115,0,0.77,59,0,0.71,101,0,0.75,43,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,108,0,0,110,0,0,104,0,0,111,0.01,3,121,0.01,9,125,0,0,121,0.03,4,138
,,,,,’g–[•‰‰×,0.89,-23,-23,0.89,-22,-22,0.89,-23,-23,0.9,-20,-20,0.9,-14,-14,0.9,-13,-13,0.89,-17,-17,0.89,-8,-8
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.78,43,0,0.71,75,0,0.69,83,0,0.71,84,0,0.72,81,0,0.76,55,0,0.72,96,0,0.78,43,0
Ž––±Š“™,XˆßŽº,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.02,2,133,0,0,211,-0.13,-2,171,0.05,6,196,0.36,13,261,0.64,15,78,0.53,14,298,0.81,6,72
,,,,,’g–[•‰‰×,0.76,-35,-150,0.84,-16,-195,0.78,-21,-181,0.85,-8,-162,0.79,-16,-202,0.74,-19,-19,0.79,-16,-215,0.71,-10,-10
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.71,74,0,0.67,99,0,0.7,81,0,0.66,91,0,0.68,75,0,0.74,58,0,0.69,88,0,0.78,49,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,89,0,0,82,0,0,91,0,0,120,0,0,150,0,0,143,0,0,198,0.94,2,388
,,,,,’g–[•‰‰×,0.77,-118,-220,0.77,-110,-203,0.74,-127,-227,0.74,-129,-249,0.73,-114,-253,0.77,-83,-214,0.71,-90,-265,0.76,-28,-229
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.75,76,0,0.68,109,0,0.64,130,0,0.62,151,0,0.64,169,0,0.73,95,0,0.67,140,0,0.69,73,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,143,0,0,133,0,0,117,0,0,159,0,0,153,0,0,207,0,0,173,-0.01,1,256
,,,,,’g–[•‰‰×,0.8,-52,-179,0.74,-66,-183,0.77,-66,-174,0.77,-57,-200,0.79,-40,-169,0.77,-44,-221,0.78,-45,-189,0.77,-21,-239
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.75,63,0,0.65,106,0,0.65,111,0,0.66,112,0,0.7,103,0,0.74,83,0,0.7,117,0,0.71,81,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,273,0,0,227,0,0,220,0.28,18,207,0.01,4,187,0.4,56,385,0.75,29,414,1.17,19,62
,,,,,’g–[•‰‰×,1.3,-66,-342,1.22,-74,-305,1.43,-44,-267,1.42,-19,-179,1.3,-27,-208,1.31,-38,-350,1.26,-48,-359,1.08,-29,-29
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.97,237,0,0.75,336,0,0.91,211,0,0.98,241,0,0.91,190,0,1.1,194,0,1.04,232,0,1.18,157,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,63,0,0,78,0,0,82,0,0,86,0,0,243,0,0,178,0,0,217,0,0,300
,,,,,’g–[•‰‰×,1.23,-299,-439,1.12,-321,-470,1.05,-367,-512,1.03,-383,-526,1.03,-360,-626,1.04,-257,-467,1,-233,-462,0.94,-116,-420
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.92,359,0,1.04,223,0,0.86,312,0,0.86,349,0,0.83,479,0,0.93,243,0,0.81,371,0,0.86,191,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,140,0,0,165,0,0,119,0,0,184,0,0,174,0,0,187,0,0,209,0,0,368
,,,,,’g–[•‰‰×,1.11,-214,-393,1.21,-186,-375,1.06,-244,-398,1.14,-203,-411,1.11,-168,-355,1.12,-146,-338,1.1,-153,-362,1.21,-42,-394
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,1.17,140,0,0.96,261,0,0.76,302,0,0.75,348,0,0.79,339,0,0.97,260,0,1,279,0,0.86,222,0
Ž––±Š“™,H“°,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,64,0,0,95,0,0,69,0.01,1,79,-0.04,6,77,0.25,11,11,0.23,8,123,0.36,9,9
,,,,,’g–[•‰‰×,0.31,-56,-144,0.37,-35,-149,0.35,-33,-122,0.43,-13,-108,0.37,-20,-120,0.36,-20,-20,0.4,-20,-129,0.27,-13,-13
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.32,97,0,0.31,103,0,0.32,90,0,0.3,97,0,0.31,84,0,0.33,81,0,0.32,96,0,0.36,76,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,26,0,0,27,0,0,25,0,0,40,0,0,65,0,0,51,0,0,90,0,0,99
,,,,,’g–[•‰‰×,0.31,-189,-260,0.3,-181,-253,0.27,-201,-268,0.26,-199,-278,0.26,-179,-274,0.28,-143,-226,0.26,-125,-240,0.3,-42,-162
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.39,96,0,0.34,112,0,0.32,127,0,0.29,148,0,0.3,170,0,0.35,115,0,0.31,146,0,0.3,87,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,61,0,0,55,0,0,44,0,0,61,0,0,66,0,0,96,0,0,85,0,0,132
,,,,,’g–[•‰‰×,0.34,-93,-183,0.27,-106,-190,0.32,-106,-183,0.32,-91,-180,0.35,-65,-155,0.33,-64,-181,0.32,-76,-182,0.31,-33,-181
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.37,86,0,0.28,117,0,0.3,116,0,0.32,114,0,0.35,107,0,0.34,107,0,0.35,120,0,0.32,101,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,111,0,0,98,0,0,87,0.58,-4,143,0,0,59,0.02,27,27,0.25,10,144,0.41,10,10
,,,,,’g–[•‰‰×,0.41,-58,-201,0.41,-50,-180,0.48,-35,-154,0.5,-18,-117,0.46,-20,-108,0.46,-21,-21,0.44,-32,-166,0.33,-20,-20
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.37,125,0,0.3,157,0,0.33,116,0,0.37,122,0,0.34,104,0,0.37,118,0,0.37,122,0,0.42,96,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,23,0,0,26,0,0,24,0,0,29,0,0,95,0,0,62,0,0,92,0,0,121
,,,,,’g–[•‰‰×,0.38,-224,-310,0.34,-228,-314,0.29,-256,-338,0.28,-257,-340,0.28,-233,-367,0.3,-178,-283,0.3,-151,-278,0.28,-67,-221
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.4,170,0,0.44,120,0,0.34,164,0,0.35,176,0,0.36,227,0,0.37,132,0,0.31,197,0,0.29,116,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,59,0,0,63,0,0,45,0,0,70,0,0,74,0,0,80,0,0,94,0,0,154
,,,,,’g–[•‰‰×,0.34,-132,-237,0.33,-136,-239,0.31,-162,-251,0.36,-130,-240,0.36,-105,-215,0.35,-96,-208,0.37,-99,-224,0.4,-32,-210
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.45,92,0,0.35,143,0,0.32,152,0,0.31,169,0,0.34,162,0,0.39,133,0,0.42,144,0,0.32,128,0
Ž––±Š“™,ƒƒr[,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.24,-4,14,0,0,130,-0.08,-2,90,0.04,5,127,0.35,11,172,0.66,13,75,0.55,13,208,0.8,6,69
,,,,,’g–[•‰‰×,0.74,-37,-98,0.81,-17,-118,0.76,-22,-95,0.84,-7,-95,0.77,-15,-115,0.74,-16,-16,0.78,-14,-126,0.69,-10,-10
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.7,76,0,0.66,100,0,0.69,82,0,0.65,92,0,0.67,76,0,0.73,60,0,0.68,89,0,0.77,50,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,61,0,0,56,0,0,60,0,0,82,0,0,100,0,0,86,0,0,131,0.88,2,289
,,,,,’g–[•‰‰×,0.75,-126,-200,0.75,-118,-187,0.72,-136,-206,0.71,-137,-221,0.71,-122,-213,0.75,-89,-164,0.68,-95,-205,0.74,-29,-146
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.75,78,0,0.68,109,0,0.63,131,0,0.62,152,0,0.63,171,0,0.73,96,0,0.66,141,0,0.68,74,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,91,0,0,82,0,0,72,0,0,99,0,0,92,0,0,132,0,0,108,0,0,169
,,,,,’g–[•‰‰×,0.78,-56,-132,0.72,-70,-138,0.75,-71,-135,0.75,-61,-145,0.77,-43,-112,0.74,-46,-149,0.76,-48,-130,0.75,-22,-155
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.74,64,0,0.64,107,0,0.64,112,0,0.66,114,0,0.7,104,0,0.73,84,0,0.69,118,0,0.71,82,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,211,0,0,161,0,0,157,0.25,16,170,0.01,3,128,0.41,54,308,0.73,27,324,1.13,19,67
,,,,,’g–[•‰‰×,1.24,-66,-274,1.17,-72,-233,1.36,-44,-198,1.37,-19,-141,1.25,-26,-143,1.24,-38,-268,1.21,-45,-265,1.03,-28,-28
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.94,229,0,0.74,323,0,0.89,205,0,0.95,233,0,0.89,185,0,1.07,188,0,1.01,225,0,1.15,152,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,46,0,0,57,0,0,56,0,0,62,0,0,199,0,0,130,0,0,167,0,0,221
,,,,,’g–[•‰‰×,1.17,-298,-414,1.07,-318,-440,1,-364,-476,0.98,-379,-491,0.97,-356,-572,0.99,-255,-411,0.95,-229,-402,0.9,-112,-333
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.9,345,0,1.01,216,0,0.84,301,0,0.84,336,0,0.81,462,0,0.91,235,0,0.79,358,0,0.84,184,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,108,0,0,117,0,0,78,0,0,134,0,0,131,0,0,121,0,0,155,0,0,280
,,,,,’g–[•‰‰×,1.06,-209,-349,1.14,-185,-319,1.01,-240,-346,1.09,-199,-352,1.06,-164,-303,1.07,-144,-264,1.05,-150,-302,1.15,-41,-302
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,1.14,137,0,0.93,253,0,0.75,292,0,0.73,336,0,0.77,327,0,0.94,251,0,0.98,270,0,0.84,214,0
ƒzƒeƒ‹“™,‹qŽº,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,2,98,0,0,112,-0.02,0,91,0.11,6,127,0.41,10,159,0.57,12,196,0.4,13,173,0.64,9,63
,,,,,’g–[•‰‰×,0.77,-26,-106,0.79,-18,-108,0.79,-16,-89,0.8,-12,-97,0.76,-16,-101,0.7,-20,-146,0.78,-15,-111,0.71,-11,-11
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.52,90,0,0.51,103,0,0.51,89,0,0.51,91,0,0.5,82,0,0.57,69,0,0.53,91,0,0.6,60,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,52,0,0,49,0,0,43,0,0,65,0,0,103,0,0,81,0,0,105,0.08,3,132
,,,,,’g–[•‰‰×,0.78,-71,-139,0.77,-71,-132,0.76,-74,-131,0.76,-72,-145,0.77,-61,-159,0.77,-52,-131,0.77,-44,-137,0.75,-21,-117
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.53,106,0,0.5,113,0,0.45,136,0,0.43,160,0,0.5,161,0,0.52,113,0,0.47,149,0,0.49,85,0
