様式 2-3. (空調) 外壁構成入力シート,,,,,,
,,,,,,　　　　　　　　　※ 材料は室内側から記入、土の厚さは指定不要
外壁の名称,外壁／接地壁,,材料番号,,材料名,厚み
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
(任意の文字列),(選択),,(選択),,,[ｍｍ]
(必須),(必須),,(必須),,(任意),(必須)
OW2H,外壁,,,,室内側,
,,[,32,],ＧＢ,12
,,[,92,],非密閉空気層,65
,,[,85,],吹付け硬質ウレタン,25
,,[,22,],ＲＣ,180
,,[,36,],タイル,45
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,,,,室外側,
RF5H,外壁,,,,室内側,
,,[,32,],ＧＢ,9
,,[,92,],非密閉空気層,600
,,[,22,],ＲＣ,190
,,[,83,],スチレン発砲板,30
,,[,43,],アスファルト,10
,,[,44,],防湿紙類,1
,,[,22,],ＲＣ,50
,,[,,],,
,,[,,],,
,,,,,室外側,
IF5H,外壁,,,,室内側,
,,[,47,],ｶｰﾍﾟｯﾄ,15
,,[,22,],RC,220
,,[,85,],吹付硬質ｳﾚﾀﾝ発砲板,30
,,[,44,],防湿紙類,1
,,[,17,],砂利,100
,,[,15,],ローム質土壌,999
,,[,,],,
,,[,,],,
,,[,,],,
,,,,,室外側,
,,,,,室内側,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,,,,室外側,
,,,,,室内側,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,,,,室外側,
,,,,,室内側,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,,,,室外側,
