様式 2-2. (空調) 外壁構成入力シート,,,,,,
,,,,,,　　　　　　　　　※ 建材名称は室内側から記入
①,②,③,④,⑤,⑥,⑦
,,,,,,
外壁名称,壁の種類,熱貫流率,建材番号,建材名称,厚み,備考
,,,,,,
,,,,,,
,,[W/㎡K],,,[mm],
,(選択),,(選択),(選択),,
,,,,,,
OW1,外壁,,,室内側,,
,,,62,せっこうボード,12,
,,,302,非密閉中空層,65,
,,,203,吹付け硬質ウレタンフォームA種1,20,
,,,41,コンクリート,170,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,室外側,,
SBW1,接地壁,,,室内側,,
,,,62,せっこうボード,12,
,,,203,吹付け硬質ウレタンフォームA種1,20,
,,,46,コンクリートブロック（軽量）,100,
,,,302,非密閉中空層,100,
,,,41,コンクリート,300,
,,,22,土壌,,
,,,,,,
,,,,,,
,,,,,,
,,,,室外側,,
OR1,外壁,,,室内側,,
,,,144,ロックウール断熱材（ボード）,15,
,,,302,非密閉中空層,900,
,,,41,コンクリート,150,
,,,103,アスファルト類,10,
,,,182,押出法ポリスチレンフォーム 保温板 2種,50,
,,,41,コンクリート,80,
,,,,,,
