様式 2-3. (空調) 外壁構成入力シート,,,,,,
,,,,,,　　　　　　　　　※ 材料は室内側から記入、土の厚さは指定不要
外壁の名称,外壁／接地壁,,材料番号,,材料名,厚み
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
(任意の文字列),(選択),,(選択),,,[ｍｍ]
(必須),(必須),,(必須),,(任意),(必須)
OW6R,外壁,,,,室内側,
,,[,32,],GB,13
,,[,92,],非密閉空気層,65
,,[,85,],吹付け硬質ｳﾚﾀﾝ発砲板,10
,,[,24,],ALC板,50
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,,,,室外側,
RF6R,外壁,,,,室内側,
,,[,31,],ﾌﾟﾗｽﾀｰ,10
,,[,92,],非密閉空気層,900
,,[,85,],吹付け硬質ｳﾚﾀﾝ発砲板,10
,,[,22,],RC,80
,,[,43,],ｱｽﾌｧﾙﾄ,5
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,,,,室外側,
SIF1,外壁,,,,室内側,
,,[,41,],合成樹脂・リノリウム,5
,,[,22,],RC,150
,,[,85,],スチレン発砲板(押出）,30
,,[,15,],ﾛｰﾑ質土壌,999
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,,,,室外側,
,,,,,室内側,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,,,,室外側,
,,,,,室内側,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,,,,室外側,
,,,,,室内側,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,[,,],,
,,,,,室外側,
