２　空調,,,,,,,,,,,,
2-0　空調ゾーンシート（室統合、室分割用シート）,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,処理空調機,処理空調機
階,室名,室用途,階高,天井高,室面積,,階,空調ゾーン名,備考欄,,,
,,,,,,,,,,,室負荷,外気負荷
,,,,,,,,,,,,
,,,[m],[m],[㎡],,,,,,,
1F,ホール,ロビー,3.535,2.6,5.74,,1F,ホール,,,PA91,PA91
1F,事務室,事務室,4.5,3.5,100.2,,1F,事務室,,,PA11,PA11
2F,ホール,ロビー,3.6,2.6,5.74,,2F,ホール,,,PA91,PA91
2F,事務室,事務室,3.6,2.6,96.8,,2F,事務室,,,PA21,PA21
3F,ホール,ロビー,3.6,2.6,5.74,,3F,ホール,,,PA91,PA91
3F,事務室,事務室,3.6,2.6,96.8,,3F,事務室,,,PA31,PA31
4F,ホール,ロビー,3.6,2.6,5.74,,4F,ホール,,,PA91,PA91
4F,事務室,事務室,3.6,2.6,96.8,,4F,事務室,,,PA41,PA41
5F,ホール,ロビー,3.6,2.6,5.74,,5F,ホール,,,PA91,PA91
5F,事務室,事務室,3.6,2.6,96.8,,5F,事務室,,,PA51,PA51
6F,ホール,ロビー,3.6,2.6,5.74,,6F,ホール,,,PA91,PA91
6F,事務室,事務室,3.6,2.6,96.8,,6F,事務室,,,PA61,PA61
7F,ホール,ロビー,3.6,2.6,5.74,,7F,ホール,,,PA91,PA91
7F,事務室,事務室,3.6,2.6,96.8,,7F,事務室,,,PA71,PA71
8F,ホール,ロビー,3.6,2.6,5.74,,8F,ホール,,,PA91,PA91
8F,事務室,事務室,3.6,2.6,96.8,,8F,事務室,,,PA81,PA81
