様式 2-4. (空調) 外皮仕様入力シート,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
①,①,外皮構成,,,,,,,
,,②,③,③,壁,,窓,,
階,空調ゾーン名,,,,④,⑤,⑥,⑦,⑧
,,方位,日除け効果係数（冷房）,日除け効果係数（暖房）,外壁名称,外皮面積 (窓含),窓名称,窓面積,ブラインドの有無
,,,[-],[-],,[㎡],,[㎡],
(転記),(転記),(選択),,,(転記),,(転記),,(選択)
,,,,,,,,,
1F,打合せスペース,北,A,,OW1J,12.5,WNDW1,1.5,
,,西,A,,OW1J,24.7,WNDW1,11.1,
,,地中,,,IF4J,21.1,,,
1F,ホール,西,A,,OW1J,31.7,WNDW1,25.7,
,,地中,,,IF4J,48.8,,,
1F,事務室,北,A,,OW1J,91.2,WNDW1,40.8,
,,東,A,,OW1J,70.1,WNDW1,4.6,
,,南,A,,OW1J,91.2,WNDW1,40.8,
,,地中,,,IF4J,442.3,,,
2F,ホール,西,A,,OW1J,10.1,,,
2F,事務室,北,A,,OW1J,86.4,WNDW1,36,
,,東,A,,OW1J,66.4,WNDW1,4.1,
,,南,A,,OW1J,86.4,WNDW1,36,
,,屋根,,,RF1J,442.3,,,
