２　空調,,,,,,,,,,,,,,,,,,,,,,
2-2　熱源類,,,,,,,,,,,,,,,,,,,,,,
,,冷房熱源,,,,,,冷房熱源,,,,,,,,,暖房熱源,,,,,
,,,,,,,熱源仕様,,,,,,,冷却塔仕様,,,,,,,,
熱源群コード,同時運転,蓄熱,台数制御,蓄熱,台数制御,機器表の記号,機器種類,同一ｺｰﾄﾞ内の,台数,冷凍能力,主機,補機,一次ポンプ,冷却能力,電動機,冷却水ポンプ,同一ｺｰﾄﾞ内の,台数,加熱能力,主機,補機,一次ポンプ
,,有無,有無,有無,有無,,,運転順位,,,消費電力,消費電力,消費電力,,消費電力,消費電力,運転順位,,,消費電力,消費電力,消費電力
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,[kW/台],[kW/台],[kW/台],[kW/台],[kW/台],[kW/台],[kW/台],,,[kW/台],[kW/台],[kW/台],[kW/台]
PA1,無,無,無,無,無,PAC-1,電気式ビル用マルチ,1番目,1,28,5.9,0.75,,,,,1番目,1,31.5,5.9,0.75,
PA2,無,無,無,無,無,PAC-2,電気式ビル用マルチ,1番目,1,28,5.9,0.75,,,,,1番目,1,31.5,5.9,0.75,
PA3,無,無,無,無,無,PAC-3,電気式ビル用マルチ,1番目,1,28,5.9,0.75,,,,,1番目,1,31.5,5.9,0.75,
PA4,無,無,無,無,無,PAC-4,電気式ビル用マルチ,1番目,1,28,5.9,0.75,,,,,1番目,1,31.5,5.9,0.75,
PA5,無,無,無,無,無,PAC-5,電気式ビル用マルチ,1番目,1,28,5.9,0.75,,,,,1番目,1,31.5,5.9,0.75,
PA6,無,無,無,無,無,PAC-6,電気式ビル用マルチ,1番目,1,28,5.9,0.75,,,,,1番目,1,31.5,5.9,0.75,
PA7,無,無,無,無,無,PAC-7,電気式ビル用マルチ,1番目,1,28,5.9,0.75,,,,,1番目,1,31.5,5.9,0.75,
PA8,無,無,無,無,無,PAC-8,電気式ビル用マルチ,1番目,1,28,5.9,0.75,,,,,1番目,1,31.5,5.9,0.75,
PA9,無,無,無,無,無,PAC-9,電気式ビル用マルチ,1番目,1,28,5.9,0.75,,,,,1番目,1,31.5,5.9,0.75,
