様式 5. (照明)照明入力シート,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
①,①,①,①,①,①,①,室指数,,,計画照明器具仕様,,,,制御による補正,,,,,
,,,,,,,②,③,④,⑤,⑥,⑦,⑧,⑨,⑩,⑪,⑫,⑬,⑭
階,室名,建物用途,室用途,室面積,階高,天井高,室の間口,室の奥行,室指数,照明器具型式,機器名称,定格消費電力,台数,在室検知制御,タイムスケジュール制御,初期照度補正,明るさ感知による昼光利用制御,明るさ感知による点滅制御,照度調整調光制御
,,,,,,,,,,,,,,,,,,,
,,,,[㎡],[m],[m],[m],[m],[-],,（照明器具表の記号等）,[W/台],[台],,,,,,
(転記),(転記),(転記),(転記),(転記),(転記),(転記),,,,,,,,(選択),(選択),(選択),(選択),(選択),(選択)
,,,,,,,,,,,,,,,,,,,
1F,納戸,飲食店等,食品庫等,6.62,3.25,2.7,3.64,1.82,,FL,9.36,62,1,,,,,,
1F,ホール,飲食店等,ロビー,9.1091,3.25,2.7,,,0.411934156378601,FL,15.6,142.5,1,,,,,,
1F,便所,飲食店等,便所,2.4843,3.25,2.7,1.82,1.365,,FL,15.6,39,1,,,,,,
1F,従業員室,飲食店等,事務室,4.14,3.25,2.7,1.82,2.275,,FL,21.19,88,1,,,,,,
1F,厨房,飲食店等,厨房,13.24,3.25,2.7,3.64,3.64,,FL,21.45,284,1,,,,,,
1F,便所（女）,飲食店等,便所,3.3124,3.25,2.7,1.82,1.82,,FL,15.6,52,1,,,,,,
1F,便所（男）,飲食店等,便所,3.3124,3.25,2.7,1.82,1.82,,FL,15.6,52,1,,,,,,
1F,客室スペース,飲食店等,喫茶店客室,43.06,3.25,2.7,,,1.55653556969346,FL,22.9,986.5,1,,,,,,
1F,収納,飲食店等,食品庫等,1.8,3.25,2.7,1.82,0.91,,FL,9.36,17,1,,,,,,
1F,廊下,飲食店等,廊下,1.6562,3.25,2.7,1.82,0.91,,FL,7.8,13,1,,,,,,
1F,階段室,飲食店等,廊下,3.3124,3.25,2.7,1.82,1.82,,FL,7.8,26,1,,,,,,
,,,,,,,,,,,,,,,,,,,
