様式 2-2. (空調) 外壁構成入力シート,,,,,,
,,,,,,　　　　　　　　　※ 建材名称は室内側から記入
?,②,③,④,⑤,⑥,⑦
,,,,,,
外壁名称,壁の種類,総熱貫流率,建材番号,建材名称,厚み,備考
,,,,,,
,,,,,,
,,[W/㎡K],,,[mm],
,(選択),,(選択),(選択),,
,,,,,,
RF1,外壁,0.198,,室内側,,
,,,62,せっこうボード,9.5,
,,,124,グラスウール断熱材　24K相当,100,
,,,302,非密閉中空層,0.1,
,,,1,鋼,0.6,
,,,124,グラスウール断熱材　24K相当,100,
,,,1,鋼,0.8,
,,,,,,
,,,,,,
,,,,,,
,,,,室外側,,
OW1,外壁,0.615,,室内側,,
,,,62,せっこうボード,12.5,
,,,302,非密閉中空層,0.1,
,,,124,グラスウール断熱材　24K相当,50,
,,,62,せっこうボード,21,
,,,87,木毛セメント板,3,
,,,1,鋼,15,
,,,,,,
,,,,,,
,,,,,,
,,,,室外側,,
OF1,外壁,4.161,,室内側,,
,,,41,コンクリート,120,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,室外側,,
SHT,外壁,6.468,,室内側,,
,,,1,鋼,0.5,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,室外側,,
SD1,外壁,6.464,,室内側,,
,,,1,鋼,6,
,,,,,,
