様式 1. (共通条件) 室仕様入力シート,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
階,室名,建物用途,室用途,階高,天井高,照明計算用室の間口,照明計算用室の奥行,室面積,空調計算対象室,換気計算対象室,照明計算対象室,給湯計算対象室,備考欄
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,(任意の文字列),(選択),(選択),[m],[m],[m],[m],[㎡],(選択),(選択),(選択),(選択),
(任意),(必須),(必須),(必須),(必須),(必須),(任意),(任意),(必須),(必須),(必須),(必須),(必須),(任意)
1F,打合せスペース,事務所等,会議室,3.8,3.1,3.25,6.5,21.13,,,,,
1F,トイレ(女）,事務所等,トイレ,3.8,2.8,3.25,2,6.5,,,,,
1F,ＰＳ,事務所等,電気・機械室（標準）,3.8,3.8,1.95,0.45,0.88,,,,,
1F,トイレ(男）,事務所等,トイレ,3.8,2.8,2.65,1.95,5.17,,,,,
1F,湯沸,事務所等,湯沸室等,3.8,2.8,1.4,1.95,2.73,,,,,
1F,トイレ前通路,事務所等,廊下,3.8,3.1,1.3,4.5,5.85,,,,,
1F,ホール,事務所等,ロビー,3.8,3.1,,,48.8,,,,,
1F,階段室,事務所等,廊下,3.8,3.8,3.6,6.5,23.4,,,,,
1F,事務室,事務所等,事務室,3.8,2.8,18.43,24,442.32,,,,,
2F,更衣･休憩(女）,事務所等,更衣室等,3.6,2.6,6.5,2,13,,,,,
2F,更衣･休憩(男）,事務所等,更衣室等,3.6,2.6,3.95,3,11.85,,,,,
2F,トイレ(男）,事務所等,トイレ,3.6,2.6,,,8.46,,,,,
2F,ＰＳ,事務所等,電気・機械室（標準）,3.6,3.6,2.2,0.45,0.99,,,,,
2F,トイレ(女）,事務所等,トイレ,3.6,2.6,4,2.2,8.8,,,,,
2F,湯沸,事務所等,湯沸室等,3.6,2.6,2.2,1.3,2.86,,,,,
2F,トイレ前通路,事務所等,廊下,3.6,2.6,,,13.52,,,,,
2F,ホール横通路,事務所等,廊下,3.6,2.6,2.9,6.5,18.85,,,,,
2F,ホール,事務所等,ロビー,3.6,2.6,4.5,2.8,12.6,,,,,
2F,階段室,事務所等,廊下,3.6,3.6,3.6,6.5,23.4,,,,,
2F,事務室,事務所等,事務室,3.6,2.6,18.43,24,442.32,,,,,
RF,ホール,事務所等,ロビー,3.6,2.6,4.5,2.8,12.6,,,,,
RF,階段室,事務所等,廊下,3.6,3.6,3.6,6.5,23.4,,,,,
