様式 3. (照明)照明入力シート,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
階,室名,建物用途,室用途,天井高,室の間口,室の奥行,室面積,室指数,計画照明器具仕様,,,,制御による補正,,,,,
,,,,,,,,,照明器具型式,機器名称,定格消費電力,台数,在室検知制御,タイムスケジュール制御,適正照度補正,明るさ感知による昼光利用制御,明るさ感知による点滅制御,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,間口・奥行の記載が無い場合に記入,,（照明器具表の記号等）,,,,,,,,
,,,,[㎡],[m],[m],[㎡],,,,[W/台],[台],(選択),(選択),(選択),(選択),(選択),
(転記),(転記),(転記),(転記),(転記),(転記),(転記),(転記),(必須),(任意),(任意),(必須),(必須),(必須),(必須),(必須),(必須),(必須),
1F,ホール,事務所等,ロビー,2.60 ,2.80 ,2.05 ,5.74 ,,埋込下面ｱｸﾘﾙ,,95,2,,,,,,
1F,流し,事務所等,湯沸室等,2.60 ,1.60 ,2.80 ,4.48 ,,ﾀﾞｳﾝﾗｲﾄ,,35,2,,,,,,
1F,流し,事務所等,湯沸室等,2.60 ,1.60 ,2.80 ,4.48 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
1F,トイレ(男）,事務所等,トイレ,2.60 ,1.25 ,2.80 ,3.50 ,,ﾀﾞｳﾝﾗｲﾄ,,35,2,,,,,,
1F,トイレ(女）,事務所等,トイレ,2.60 ,1.65 ,2.80 ,4.62 ,,ﾀﾞｳﾝﾗｲﾄ,,35,2,,,,,,
1F,事務室,事務所等,事務室,3.50 ,6.75 ,14.90 ,100.20 ,,埋込下面ルーバー,,95,27,,,センサー,,,
2F,ホール,事務所等,ロビー,2.60 ,2.80 ,2.05 ,5.74 ,,埋込下面ｱｸﾘﾙ,,95,2,,,,,,
2F,流し,事務所等,湯沸室等,2.60 ,1.60 ,2.80 ,4.48 ,,ﾀﾞｳﾝﾗｲﾄ,,35,2,,,,,,
2F,流し,事務所等,湯沸室等,2.60 ,1.60 ,2.80 ,4.48 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
2F,トイレ(男）,事務所等,トイレ,2.60 ,1.25 ,2.80 ,3.50 ,,ﾀﾞｳﾝﾗｲﾄ,,35,2,,,,,,
2F,トイレ(女）,事務所等,トイレ,2.60 ,1.65 ,2.80 ,4.62 ,,ﾀﾞｳﾝﾗｲﾄ,,35,2,,,,,,
2F,事務室,事務所等,事務室,2.60 ,0.00 ,0.00 ,96.80 ,2.6 ,埋込下面ルーバー,,95,26,,,センサー,,,
3F,ホール,事務所等,ロビー,2.60 ,2.80 ,2.05 ,5.74 ,,埋込下面ｱｸﾘﾙ,,95,2,,,,,,
3F,流し,事務所等,湯沸室等,2.60 ,1.60 ,2.80 ,4.48 ,,ﾀﾞｳﾝﾗｲﾄ,,35,2,,,,,,
3F,流し,事務所等,湯沸室等,2.60 ,1.60 ,2.80 ,4.48 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
3F,トイレ(男）,事務所等,トイレ,2.60 ,1.25 ,2.80 ,3.50 ,,ﾀﾞｳﾝﾗｲﾄ,,35,2,,,,,,
3F,トイレ(女）,事務所等,トイレ,2.60 ,1.65 ,2.80 ,4.62 ,,ﾀﾞｳﾝﾗｲﾄ,,35,2,,,,,,
3F,事務室,事務所等,事務室,2.60 ,0.00 ,0.00 ,96.80 ,2.6 ,埋込下面ルーバー,,95,26,,,センサー,,,
4F,ホール,事務所等,ロビー,2.60 ,2.80 ,2.05 ,5.74 ,,埋込下面ｱｸﾘﾙ,,95,2,,,,,,
4F,流し,事務所等,湯沸室等,2.60 ,1.60 ,2.80 ,4.48 ,,ﾀﾞｳﾝﾗｲﾄ,,35,2,,,,,,
4F,流し,事務所等,湯沸室等,2.60 ,1.60 ,2.80 ,4.48 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
4F,トイレ(男）,事務所等,トイレ,2.60 ,1.25 ,2.80 ,3.50 ,,ﾀﾞｳﾝﾗｲﾄ,,35,2,,,,,,
4F,トイレ(女）,事務所等,トイレ,2.60 ,1.65 ,2.80 ,4.62 ,,ﾀﾞｳﾝﾗｲﾄ,,35,2,,,,,,
4F,事務室,事務所等,事務室,2.60 ,0.00 ,0.00 ,96.80 ,2.6 ,埋込下面ルーバー,,95,26,,,センサー,,,
5F,ホール,事務所等,ロビー,2.60 ,2.80 ,2.05 ,5.74 ,,埋込下面ｱｸﾘﾙ,,95,2,,,,,,
5F,流し,事務所等,湯沸室等,2.60 ,1.60 ,2.80 ,4.48 ,,ﾀﾞｳﾝﾗｲﾄ,,35,2,,,,,,
5F,流し,事務所等,湯沸室等,2.60 ,1.60 ,2.80 ,4.48 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
5F,トイレ(男）,事務所等,トイレ,2.60 ,1.25 ,2.80 ,3.50 ,,ﾀﾞｳﾝﾗｲﾄ,,35,2,,,,,,
5F,トイレ(女）,事務所等,トイレ,2.60 ,1.65 ,2.80 ,4.62 ,,ﾀﾞｳﾝﾗｲﾄ,,35,2,,,,,,
5F,事務室,事務所等,事務室,2.60 ,0.00 ,0.00 ,96.80 ,2.6 ,埋込下面ルーバー,,95,26,,,センサー,,,
6F,ホール,事務所等,ロビー,2.60 ,2.80 ,2.05 ,5.74 ,,埋込下面ｱｸﾘﾙ,,95,2,,,,,,
6F,流し,事務所等,湯沸室等,2.60 ,1.60 ,2.80 ,4.48 ,,ﾀﾞｳﾝﾗｲﾄ,,35,2,,,,,,
6F,流し,事務所等,湯沸室等,2.60 ,1.60 ,2.80 ,4.48 ,,流元灯(ｶﾊﾞｰ付）,,22,1,,,,,,
6F,トイレ(男）,事務所等,トイレ,2.60 ,1.25 ,2.80 ,3.50 ,,ﾀﾞｳﾝﾗｲﾄ,,35,2,,,,,,
6F,トイレ(女）,事務所等,トイレ,2.60 ,1.65 ,2.80 ,4.62 ,,ﾀﾞｳﾝﾗｲﾄ,,35,2,,,,,,
