様式 2-2. (空調) 外壁構成入力シート,,,,,,
,,,,,,　　　　　　　　　※ 建材名称は室内側から記入
?,②,③,④,⑤,⑥,⑦
,,,,,,
外壁名称,壁の種類,総熱貫流率,建材番号,建材名称,厚み,備考
,,,,,,
,,,,,,
,,[W/㎡K],,,[mm],
,(選択),,(選択),(選択),,
,,,,,,
OW1,外壁,0.88,,室内側,,
,,,62,せっこうボード,12.5,
,,,302,非密閉中空層,0.1,
,,,188,ビーズ法ポリスチレンフォーム　保温板　2号,25,
,,,41,コンクリート,180,
,,,47,セメント・モルタル,20,
,,,47,セメント・モルタル,15,
,,,67,タイル,15,
,,,,,,
,,,,,,
,,,,室外側,,
OW2,外壁,4.46,,室内側,,
,,,1,鋼,5,
,,,302,非密閉中空層,0.1,
,,,1,鋼,5,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,室外側,,
OW3,外壁,0.88,,室内側,,
,,,62,せっこうボード,12.5,
,,,302,非密閉中空層,0.1,
,,,188,ビーズ法ポリスチレンフォーム　保温板　2号,25,
,,,41,コンクリート,180,
,,,47,セメント・モルタル,20,
,,,47,セメント・モルタル,15,
,,,67,タイル,15,
,,,,,,
,,,,,,
,,,,室外側,,
RF2,外壁,0.77,,室内側,,
,,,70,ロックウール化粧吸音板,9,
,,,62,せっこうボード,12.5,
,,,302,非密閉中空層,0.1,
,,,41,コンクリート,150,
,,,,,,
,,,188,ビーズ法ポリスチレンフォーム　保温板　2号,25,
,,,41,コンクリート,80,
,,,,,,
,,,,,,
,,,,室外側,,
RF3,外壁,0.77,,室内側,,
,,,70,ロックウール化粧吸音板,9,
,,,62,せっこうボード,12.5,
,,,302,非密閉中空層,0.1,
,,,41,コンクリート,150,
,,,,,,
,,,188,ビーズ法ポリスチレンフォーム　保温板　2号,25,
,,,41,コンクリート,80,
,,,,,,
