様式 2-4. (空調) 外皮仕様入力シート,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
①,①,外皮構成,,,,,,,
,,②,③,③,壁,,窓,,
階,空調ゾーン名,,,,④,⑤,⑥,⑦,⑧
,,方位,日除け効果係数（冷房）,日除け効果係数（暖房）,外壁名称,外皮面積 (窓含),窓名称,窓面積,ブラインドの有無
,,,[-],[-],,[㎡],,[㎡],
(転記),(転記),(選択),,,(転記),,(転記),,(選択)
,,,,,,,,,
3F,3F事務室,北,,,OW1,68,WNDW1,20.4,無
,,東,,,OW1,148,WNDW1,44.4,無
,,南,,,OW1,68,WNDW1,20.4,無
4F,4F事務室,北,,,OW1,68,WNDW1,20.4,無
,,東,,,OW1,148,WNDW1,44.4,無
,,南,,,OW1,68,WNDW1,20.4,無
5F,5F事務室,北,,,OW1,68,WNDW1,20.4,無
,,東,,,OW1,148,WNDW1,44.4,無
,,南,,,OW1,68,WNDW1,20.4,無
6F,6F事務室,北,,,OW1,68,WNDW1,20.4,無
,,東,,,OW1,148,WNDW1,44.4,無
,,南,,,OW1,68,WNDW1,20.4,無
7F,7F事務室,北,,,OW1,68,WNDW1,20.4,無
,,東,,,OW1,148,WNDW1,44.4,無
,,南,,,OW1,68,WNDW1,20.4,無
