様式 2-2. (空調) 外壁構成入力シート,,,,,,
,,,,,,　　　　　　　　　※ 建材名称は室内側から記入
?,②,③,④,⑤,⑥,⑦
,,,,,,
外壁名称,壁の種類,総熱貫流率,建材番号,建材名称,厚み,備考
,,,,,,
,,,,,,
,,[W/㎡K],,,[mm],
,(選択),,(選択),(選択),,
,,,,,,
B1F,接地壁,,,室内側,,
,,,47,カーペット類,10,
,,,27,モルタル,30,
,,,22,普通コンクリート,125,
,,,85,吹付け硬質ウレタン発泡板,25,
,,,92,非密閉空気層,600,
,,,22,普通コンクリート,300,
,,,,,,
,,,,,,
,,,,,,
,,,,室外側,,
FL1,外壁,,,室内側,,
,,,47,カーペット類,10,
,,,27,モルタル,10,
,,,22,普通コンクリート,125,
,,,92,非密閉空気層,600,
,,,73,岩綿吸音板,15,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,室外側,,
OR1,外壁,,,室内側,,
,,,73,岩盤吸音板,9,
,,,32,せっこう板,19,
,,,92,非密閉空気層,600,
,,,85,吹付け硬質ウレタン発泡板,50,
,,,22,普通コンクリート,125,
,,,43,アスファルト類,10,
,,,23,PCコンクリート,100,
,,,,,,
,,,,,,
,,,,室外側,,
OW1,外壁,,,室内側,,
,,,73,せっこう板,12,
,,,92,非密閉空気層,50,
,,,85,吹付け硬質ウレタン発泡板,25,
,,,22,普通コンクリート,250,
,,,27,モルタル,50,
,,,36,タイル,10,
,,,,,,
,,,,,,
,,,,,,
,,,,室外側,,
B1W,接地壁,,,室内側,,
,,,32,石膏板,12,
,,,26,コンクリトブロック,100,
,,,92,非密閉空気層,100,
,,,22,普通コンクリート,300,
,,,15,土壌,,
,,,,,,
